customer_id,customer_name,region,segment,signup_date
67,Aarav Nair,East,Consumer,2025-03-15
68,Tanya Chatterjee,East,Consumer,2024-03-28
69,Ananya Kapoor,West,Corporate,2025-03-26
70,Kabir Joshi,North,Consumer,2024-11-10
71,Rahul Reddy,North,Small Business,2025-02-08
72,Diya Joshi,East,Consumer,2023-07-23
73,Rohan Sharma,North,Consumer,2024-05-01
74,Rahul Malhotra,North,Consumer,2025-06-26
75,Tanya Iyer,West,Consumer,2023-09-07
76,Rohan Joshi,North,Small Business,2025-05-31
77,Ishaan Rao,West,Consumer,2025-04-03
78,Riya Mehta,North,Corporate,2025-05-18
79,Ishaan Mehta,South,Small Business,2024-11-14
80,Riya Kapoor,Central,Consumer,2025-02-12
81,Sanya Chatterjee,Central,Consumer,2024-07-15
82,Sanya Das,South,Corporate,2024-05-01
83,Sanya Nair,South,Small Business,2023-10-11
84,Riya Mehta,South,Consumer,2023-03-21
85,Meera Iyer,East,Consumer,2024-07-07
86,Aditya Gupta,South,Consumer,2024-12-11
87,Rohan Bose,South,Consumer,2024-02-22
88,Kiara Kapoor,West,Consumer,2023-07-31
89,Neha Singh,Central,Small Business,2023-01-21
90,Tanya Singh,West,Consumer,2023-12-27
91,Meera Rao,West,Small Business,2025-05-05
92,Neha Kapoor,Central,Corporate,2023-08-14
93,Karan Iyer,East,Consumer,2023-01-30
94,Arjun Reddy,West,Corporate,2025-05-10
95,Sanya Das,South,Small Business,2024-06-30
96,Aarav Das,West,Corporate,2024-11-09
97,Aarav Verma,West,Consumer,2024-04-17
98,Kabir Sharma,East,Consumer,2023-08-05
99,Sanya Reddy,East,Corporate,2024-01-24
100,Saanvi Rao,West,Consumer,2023-03-25
101,Karan Sharma,Central,Consumer,2023-12-25
102,Diya Joshi,North,Corporate,2024-10-29
103,Vivaan Rao,North,Small Business,2023-07-24
104,Aarav Chatterjee,South,Consumer,2024-04-29
105,Ishaan Chatterjee,South,Consumer,2023-09-20
106,Priya Gupta,Central,Corporate,2025-02-04
107,Ishaan Rao,South,Small Business,2023-04-21
108,Tanya Sharma,East,Corporate,2024-01-20
109,Arjun Bose,South,Consumer,2024-12-08
110,Diya Verma,East,Small Business,2024-09-06
111,Ishaan Rao,Central,Corporate,2023-12-22
112,Manav Singh,East,Consumer,2024-10-25
113,Kiara Sharma,West,Small Business,2023-04-19
114,Neha Reddy,West,Corporate,2024-03-21
115,Kabir Bose,Central,Small Business,2023-10-04
116,Rahul Rao,Central,Corporate,2024-04-21
117,Neha Malhotra,Central,Consumer,2025-05-22
118,Diya Malhotra,North,Consumer,2024-04-06
119,Diya Rao,West,Corporate,2024-11-15
120,Arjun Reddy,North,Consumer,2023-11-29
121,Kabir Mehta,South,Consumer,2023-09-22
122,Kiara Nair,Central,Corporate,2023-10-10
123,Manav Sharma,Central,Small Business,2023-03-29
124,Diya Bose,West,Consumer,2025-02-15
125,Diya Bose,West,Corporate,2024-05-17
126,Sanya Rao,North,Consumer,2023-08-15
127,Arjun Bose,South,Consumer,2024-08-18
128,Priya Mehta,Central,Consumer,2024-03-11
129,Manav Reddy,East,Corporate,2023-10-05
130,Meera Nair,South,Consumer,2023-07-17
131,Kiara Verma,Central,Small Business,2024-12-07
132,Kabir Iyer,South,Corporate,2023-10-11
133,Tanya Rao,Central,Corporate,2023-04-13
134,Ananya Nair,South,Consumer,2023-11-06
135,Aarav Bose,Central,Consumer,2023-02-16
136,Vivaan Kapoor,East,Corporate,2023-05-10
137,Karan Verma,North,Corporate,2024-04-25
138,Karan Mehta,East,Consumer,2023-02-22
139,Saanvi Malhotra,West,Consumer,2023-03-08
140,Arjun Mehta,North,Corporate,2024-12-03
141,Vivaan Gupta,South,Small Business,2023-11-08
142,Aditya Iyer,North,Corporate,2024-03-02
143,Rahul Chatterjee,Central,Consumer,2024-06-19
144,Arjun Mehta,West,Consumer,2024-08-25
145,Neha Nair,Central,Corporate,2024-09-16
146,Ishaan Rao,South,Corporate,2023-09-28
147,Aditya Gupta,South,Consumer,2023-03-18
148,Kabir Sharma,West,Consumer,2024-08-31
149,Karan Nair,North,Consumer,2024-12-24
150,Meera Bose,West,Consumer,2023-08-28
151,Saanvi Rao,Central,Corporate,2023-07-22
152,Neha Verma,Central,Consumer,2023-06-02
153,Saanvi Malhotra,South,Consumer,2023-06-19
154,Meera Chatterjee,Central,Small Business,2024-03-25
155,Ishaan Mehta,East,Corporate,2023-10-06
156,Riya Kapoor,West,Consumer,2024-09-04
157,Vivaan Das,West,Corporate,2024-09-10
158,Saanvi Sharma,North,Consumer,2024-11-21
159,Tanya Chatterjee,North,Small Business,2024-11-19
160,Saanvi Chatterjee,North,Corporate,2023-06-29
161,Karan Kapoor,West,Small Business,2023-07-05
162,Tanya Singh,West,Small Business,2024-04-26
163,Priya Singh,East,Consumer,2023-04-18
164,Kabir Reddy,West,Corporate,2023-10-23
165,Arjun Malhotra,Central,Consumer,2023-04-01
166,Kiara Nair,East,Consumer,2025-03-02
167,Arjun Malhotra,Central,Small Business,2023-01-02
168,Manav Mehta,West,Consumer,2024-06-14
169,Priya Chatterjee,West,Corporate,2025-02-17
170,Vivaan Iyer,East,Consumer,2023-10-22
171,Sanya Das,West,Consumer,2024-10-07
172,Rahul Rao,South,Corporate,2023-11-15
173,Manav Sharma,Central,Consumer,2023-08-19
174,Ishaan Mehta,North,Corporate,2023-06-07
175,Karan Das,East,Consumer,2023-10-07
176,Neha Malhotra,West,Small Business,2023-09-07
177,Sanya Kapoor,South,Consumer,2024-09-05
178,Riya Bose,South,Small Business,2023-10-10
179,Neha Reddy,Central,Consumer,2023-01-03
180,Meera Bose,East,Small Business,2024-08-16
181,Karan Malhotra,South,Consumer,2024-05-10
182,Priya Reddy,Central,Corporate,2024-01-22
183,Sanya Das,East,Small Business,2024-12-15
184,Diya Chatterjee,West,Consumer,2025-03-05
185,Neha Sharma,East,Corporate,2024-12-23
186,Arjun Singh,South,Consumer,2023-02-07
187,Rohan Kapoor,Central,Consumer,2023-04-13
188,Sanya Verma,Central,Small Business,2023-01-16
189,Rohan Singh,South,Consumer,2025-03-11
190,Saanvi Reddy,Central,Corporate,2024-10-27
191,Aditya Malhotra,East,Small Business,2025-05-29
192,Manav Singh,East,Corporate,2025-06-27
193,Karan Malhotra,Central,Consumer,2023-03-12
194,Diya Joshi,East,Small Business,2025-02-03
195,Aditya Singh,North,Corporate,2024-12-21
196,Ishaan Mehta,South,Corporate,2023-01-30
197,Vivaan Reddy,North,Consumer,2024-01-19
198,Neha Gupta,South,Consumer,2024-08-02
199,Kabir Gupta,South,Consumer,2025-06-10
200,Arjun Chatterjee,South,Consumer,2024-08-20
